id,name,min_players,max_players,play_time,min_age,published,owned,average_rating,category
463,Magic: The Gathering,2,2,20,13,1993,25358,7.29709,Fighting
469,In Teufels Küche,2,4,60,10,1993,181,5.55833,Bluffing
474,Cold War,4,4,180,12,1984,518,5.60368,Economic
475,Taj Mahal,3,5,100,12,2000,6798,7.08628,Bluffing
478,Citadels,2,8,60,10,2000,49514,7.05909,Bluffing
484,Stratego Legends,2,8,60,8,1999,1533,5.58305,Bluffing
492,Aladdin's Dragons,3,5,90,10,2000,3483,6.57328,Bluffing
504,Die Verbotene Stadt,2,4,60,12,1992,280,5.57168,Bluffing
507,Cartel,2,4,90,10,1973,242,5.69447,Economic
511,Silverton,1,6,180,12,1991,1610,6.27732,Economic
531,Merchants of Amsterdam,3,5,60,10,2000,2105,6.23482,Economic
538,Manager,3,6,60,10,1991,179,5.60101,Economic
562,Silberzwerg,2,4,60,10,2000,564,5.7579,Economic
577,Parts Unknown,4,10,90,10,1999,579,5.58004,Economic
595,Escape from Elba,3,6,60,10,1999,458,5.48148,Fighting
605,Banana Republic,2,5,30,10,1993,221,5.47425,Bluffing
623,Swashbuckler,2,6,90,12,1980,462,5.75433,Fighting
632,Cloud 9,3,6,30,8,1999,2043,6.15632,Bluffing
638,Hera and Zeus,2,2,30,12,2000,4565,6.26263,Bluffing
649,Thieves of Bagdad,3,6,90,10,1999,254,5.54469,Bluffing
657,Münchhausen,3,8,30,8,1996,167,5.52947,Bluffing
668,Sternenhimmel,3,5,30,10,1995,377,5.77905,Bluffing
673,Star Traders,2,6,120,12,1987,390,5.63323,Economic
673,Star Traders,2,6,120,12,1987,390,5.63323,Science Fiction
679,Minion Hunter,1,6,60,12,1992,307,5.58301,Science Fiction
684,Monopoly: The Card Game,2,6,30,8,2000,1153,5.50042,Economic
686,Dr. Jekyll & Mr. Hyde,3,4,60,10,1997,720,5.86708,Bluffing
691,Timbuktu,3,5,60,10,1993,1986,6.25164,Economic
697,Conspiracy,3,4,90,10,1973,1297,5.75417,Bluffing
699,HeroQuest,2,5,90,10,1989,12048,6.75533,Fighting
700,Battle Masters,2,2,60,9,1992,3074,5.85409,Fighting
710,Snit's Revenge,2,2,20,8,1977,690,5.68415,Fighting
712,Blood Bowl (Third Edition),2,2,180,12,1994,5459,7.15206,Fighting
714,Talisman,2,6,240,9,1983,5312,6.13008,Fighting
